SERMON_SLUG,CITATION_RAW,CITATION,BOOK_SLUG,CHAPTER,VERSE,API_URL
1571-lavater-von-thuewre-vn,Deut. 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1571-lavater-von-thuewre-vn,Amos am 4,Amos 4,amos,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/4.json
1571-lavater-von-thuewre-vn,Reg. 8,1 Kings 8,1kings,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1kings/chapters/8.json
1571-lavater-von-thuewre-vn,1. Timoth. 4,1 Tim 4,1timothy,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1timothy/chapters/4.json
1571-lavater-von-thuewre-vn,Psalm. 105,Ps 105,psalms,105,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/105.json
1571-lavater-von-thuewre-vn,Rom. 4,Rom 4,romans,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/4.json
1571-lavater-von-thuewre-vn,1. Cor. 3,1 Cor 3,1corinthians,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1corinthians/chapters/3.json
1571-lavater-von-thuewre-vn,Ezech. am 36,Ezek 36,ezekiel,36,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/36.json
1571-lavater-von-thuewre-vn,Psal. 115,Ps 115,psalms,115,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/115.json
1571-lavater-von-thuewre-vn,Joelam 1,Joel 1,joel,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joel/chapters/1.json
1571-lavater-von-thuewre-vn,Ezech 45,Ezek 45,ezekiel,45,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/45.json
1571-lavater-von-thuewre-vn,Psal. 105,Ps 105,psalms,105,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/105.json
1571-lavater-von-thuewre-vn,Deut. am 8,Deuteronomy 8,deuteronomy,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/8.json
1571-lavater-von-thuewre-vn,Job am 37,Job 37,job,37,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/37.json
1571-lavater-von-thuewre-vn,147. Psalm,Ps 147,psalms,147,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/147.json
1571-lavater-von-thuewre-vn,Jerem. am 14,Jer 14,jeremiah,14,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/jeremiah/chapters/14.json
1571-lavater-von-thuewre-vn,Nehemia am 5,Nehemiah 5,nehemiah,5,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/nehemiah/chapters/5.json
1571-lavater-von-thuewre-vn,Amos 8,Amos 8,amos,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/8.json
1571-lavater-von-thuewre-vn,Jerem. am 24,Jer 24,jeremiah,24,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/jeremiah/chapters/24.json
1571-lavater-von-thuewre-vn,2. Reg. am 21,2 Kings 21,2kings,21,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2kings/chapters/21.json
1571-lavater-von-thuewre-vn,Jerem. am 34,Jer 34,jeremiah,34,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/jeremiah/chapters/34.json
1571-lavater-von-thuewre-vn,1. Cor. 4,1 Cor 4,1corinthians,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1corinthians/chapters/4.json
1571-lavater-von-thuewre-vn,2. Cor. 1,2 Cor 1,2corinthians,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2corinthians/chapters/1.json
1571-lavater-von-thuewre-vn,Deut. 30,Deuteronomy 30,deuteronomy,30,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/30.json
