SERMON_SLUG,JSON_FILE,WEATHER_PHENOMENON
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Finsternuß/Finsternis
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Winter
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Regen/Blutregen/Regenbogen
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Schnee
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Hagel
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Sturm
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Flut
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Schlossen/Schloßen
1639-reinhold-bronteiologike-gehalten-durch,trans_1639_Reinhold_Bronteiologiké.json,Wasser
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Wetter
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Witterung/Gewitter
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Finsternuß/Finsternis
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Regen/Blutregen/Regenbogen
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Komet/Comet
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Kälte
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Schnee
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Eis
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Dürre
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Hagel
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Hitze
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Sturm
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Sommer
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Schlossen/Schloßen
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Wasser
1649-alard-hiobitische-truebsaell-als,trans_1649_Alard_Hiobitsche_Trübsaell.json,Sonne
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Wetter
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Witterung/Gewitter
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Regen/Blutregen/Regenbogen
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Nebel
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Schnee
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Hagel
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Hitze
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Sturm
1705-andreae-gottes-herrliche-heilige,"trans_1705_Andreae_Gottes_Herrliche,_Heilige_und_Heilsame_Wege_im_Wetter.json",Wasser
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Wetter
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Witterung/Gewitter
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Wind
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Winter
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Regen/Blutregen/Regenbogen
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Frost
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Kälte
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Schnee
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Dürre
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Hagel
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Hitze
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Sommer
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Herbst
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Schlossen/Schloßen
1705-graefe-gottes-majestaet-und,trans_1705_Gräfe_Gottes_Majestät_und_Herrligkeit_bey_dem_Ungewöhnlichen_grossen_Schnee.json,Wasser
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Wetter
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Witterung/Gewitter
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Wind
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Winter
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Regen/Blutregen/Regenbogen
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Kälte
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Schnee
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Hagel
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Hitze
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Sommer
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Schlossen/Schloßen
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Wasser
1707-stolle-el-lemoshaot-der,trans_1707_Götze_El_Iemosha_ot_Der_Gott_vieler_Hülffen.json,Sonne
1748-knebel-wie-gott-denen,trans_1748_Knebel_Wie_Gott_denen_Leuten_die_Ohren_zu_öffnen_pflege.json,Wetter
1748-knebel-wie-gott-denen,trans_1748_Knebel_Wie_Gott_denen_Leuten_die_Ohren_zu_öffnen_pflege.json,Witterung/Gewitter
1748-knebel-wie-gott-denen,trans_1748_Knebel_Wie_Gott_denen_Leuten_die_Ohren_zu_öffnen_pflege.json,Wind
1748-knebel-wie-gott-denen,trans_1748_Knebel_Wie_Gott_denen_Leuten_die_Ohren_zu_öffnen_pflege.json,Hagel
1748-knebel-wie-gott-denen,trans_1748_Knebel_Wie_Gott_denen_Leuten_die_Ohren_zu_öffnen_pflege.json,Sturm
1748-knebel-wie-gott-denen,trans_1748_Knebel_Wie_Gott_denen_Leuten_die_Ohren_zu_öffnen_pflege.json,Wasser
