SLUG,BIBLE CITATION,BOOK_EN,CHAPTER,VERSE,URL
1571-lavater-von-thuewre-vn,Ezech 45,ezekiel,45,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/45/verses/1.json
1571-lavater-von-thuewre-vn,Psal. 105,psalms,105,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/105/verses/1.json
1571-lavater-von-thuewre-vn,Deut. am 8,deuteronomy,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/8/verses/1.json
1571-lavater-von-thuewre-vn,Job am 37,job,37,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/37/verses/1.json
1571-lavater-von-thuewre-vn,147. Psalm,psalms,147,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/147/verses/1.json
1571-lavater-von-thuewre-vn,Jerem. am 14,jeremiah,14,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/jeremiah/chapters/14/verses/1.json
1571-lavater-von-thuewre-vn,Nehemia am 5,nehemiah,5,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/nehemiah/chapters/5/verses/1.json
1571-lavater-von-thuewre-vn,Amos 8,amos,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/8/verses/1.json
1571-lavater-von-thuewre-vn,Jerem. am 24,jeremiah,24,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/jeremiah/chapters/24/verses/1.json
1571-lavater-von-thuewre-vn,2. Reg. am 21,2kings,21,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2kings/chapters/21/verses/1.json
1571-lavater-von-thuewre-vn,Jerem. am 34,jeremiah,34,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/jeremiah/chapters/34/verses/1.json
1571-lavater-von-thuewre-vn,1. Cor. 4,1corinthians,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1corinthians/chapters/4/verses/1.json
1571-lavater-von-thuewre-vn,2. Cor. 1,2corinthians,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2corinthians/chapters/1/verses/1.json
